Financial Wellness Survey Export -- Platform v2 -- Generated 2022
respondent_id,year,age,province,income,savings_pct,benefit_retirement,benefit_health,benefit_wages,benefit_timeoff,benefit_worklife,twoweek_pay_delay_impact,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0126,2022,30-40,Alberta,"$30,000",0.0,NA,NA,NA,NA,NA,Neither,No,Difficult,Stressed
2022-0127,2022,18-30,Quebec,30000,10.0,No,No,No,No,Y,Difficult,Yes,Neither,Coping
2022-0128,2022,30-40,Manitoba,"$66,900",8.9,NA,NA,NA,NA,NA,Somewhat difficult,No,Neither,Stressed
2022-0129,2022,30-40,ON,NA,14.6,N,No,No,yes,no,Somewhat manageable,NA,Difficult,Coping
2022-0130,2022,40-50,Ontario,"111,800",10.4,No,No,No,No,Yes,Somewhat manageable,Y,Difficult,Stressed
2022-0132,2022,30-40,Ontario,126000,6.3,N,Yes,No,No,No,Neither,No,Difficult,Stressed
2022-0133,2022,30-40,AB,111700,NA,No,No,No,No,Yes,Neither,No,Difficult,Stressed
2022-0134,2022,40-50,Ontario,193K,10.5,No,No,No,Yes,No,Very manageable,Yes,Very difficult,Coping
2022-0135,2022,30-40,alberta,"80,600",4.9,No,no,No,Yes,No,Neither,No,NA,Stressed
2022-0136,2022,30-40,British Columbia,"$87,200",13.4,No,Yes,No,No,N,Neither,No,Very manageable,Comfortable
2022-0137,2022,50-65,British Columbia,"$107,400",0.0,N,No,N,No,Yes,Very manageable,No,Very manageable,Coping
2022-0138,2022,50-65,Ontario,189700,NA,No,No,No,Yes,No,Manageable,no,Very difficult,Coping
2022-0139,2022,50-65,Ontario,NA,7.6,No,No,Yes,No,no,Difficult,No,Manageable,Stressed
2022-0140,2022,30-40,ontario ,"54,600",7.6,no,Y,No,No,No,Neither,No,Difficult,Comfortable
2022-0141,2022,18-30,alberta,86400,13.8,no,no,No,no,yes,Very manageable,N,Neither,Coping
2022-0142,2022,30-40,Yukon,"46,200",8.3,Yes,N,No,no,N,Somewhat difficult,No,Manageable,Coping
2022-0143,2022,30-40,Alberta,103200,3.9,No,No,Yes,No,N,Neither,Yes,Difficult,Stressed
2022-0144,2022,30-40,Ontario,"$107,700",6.4,No,No,Y,No,No,Neither,No,Neither,Coping
2022-0145,2022,30-40,Ontario,"68,500",21.8,No,No,No,No,yes,Manageable,no,NA,Comfortable
2022-0146,2022,30-40,Ontario,118300,6.2,N,No,No,Y,no,Difficult,N,Difficult,Coping
2022-0147,2022,18-30,New Brunswick,"30,000",0.5,No,No,No,No,Yes,Somewhat difficult,Yes,Very manageable,Stressed
2022-0148,2022,18-30,ontario ,"75,600",11.7,No,N,No,No,Yes,Somewhat difficult,N,Difficult,Stressed
2022-0149,2022,50-65,Ontario,"$89,400",5.1,N,Yes,N,No,No,Somewhat manageable,No,Very difficult,Stressed
2022-0150,2022,18-30,Alberta,"215,100",10.1,No,No,N,No,Yes,Somewhat difficult,N,Very manageable,Coping
2022-0151,2022,30-40,Ontario,97800,22.8,No,yes,No,No,No,Somewhat difficult,Yes,NA,Comfortable
2022-0152,2022,50-65,Alberta,"$76,700",13.3,No,Y,no,No,No,Neither,N,Neither,Comfortable
2022-0153,2022,50-65,Ontario,37600,14.7,yes,No,N,No,No,Somewhat difficult,no,Neither,Comfortable
2022-0154,2022,40-50,ontario ,170K,7.5,no,no,Yes,no,No,Manageable,No,Very difficult,Stressed
2022-0155,2022,40-50,ON,78500,7.2,NA,NA,NA,NA,NA,Neither,NA,Neither,Comfortable
2022-0156,2022,40-50,Nova Scotia,63900,12.3,No,No,no,No,Yes,Somewhat difficult,No,Difficult,Coping
2022-0157,2022,50-65,british columbia,130800,6.5,N,No,yes,No,No,Manageable,No,Neither,Coping
2022-0158,2022,40-50,ON,"130,000",16.1,No,No,Yes,No,No,Somewhat difficult,N,Neither,Coping
2022-0159,2022,18-30,British Columbia,"$88,700",8.7,No,N,No,No,Yes,Difficult,no,Manageable,Stressed
2022-0160,2022,30-40,Ontario,82000,20.9,NA,NA,NA,NA,NA,Manageable,No,Very manageable,Comfortable
2022-0161,2022,40-50,Nova Scotia,110000,6.8,No,Yes,No,No,No,Somewhat manageable,No,Neither,Comfortable
2022-0162,2022,30-40,ON,"89,600",NA,NA,NA,NA,NA,NA,Very manageable,No,Very manageable,Comfortable
2022-0163,2022,50-65,British Columbia,"135,300",9.8,N,Yes,no,No,N,Manageable,No,NA,Comfortable
2022-0164,2022,30-40,British Columbia,109700,10.8,No,No,Yes,No,No,Somewhat difficult,NA,Manageable,Coping
2022-0166,2022,50-65,Alberta,112300,7.2,Y,No,No,No,No,Very manageable,No,Difficult,Comfortable
2022-0167,2022,30-40,British Columbia,46K,18.1,No,No,No,No,Y,Neither,No,Difficult,Coping
2022-0168,2022,40-50,BC,86K,20.6,No,N,No,Y,No,Manageable,No,Very manageable,Comfortable
2022-0169,2022,50-65,Ontario,144200,4.2,NA,NA,NA,NA,NA,Difficult,Yes,Difficult,Stressed
2022-0171,2022,30-40,Ontario,30000,4.5,No,No,No,No,Yes,Somewhat manageable,No,Manageable,Coping
2022-0172,2022,40-50,Quebec,"$150,900",12.2,No,no,No,Yes,No,Difficult,No,Difficult,Coping
2022-0173,2022,40-50,Ontario,167500,15.6,no,No,no,No,Y,Manageable,No,Neither,Comfortable
2022-0174,2022,50-65,British Columbia,"53,700",28.8,No,No,Yes,no,No,Somewhat difficult,No,Very manageable,Comfortable
2022-0175,2022,18-30,AB,66500,5.1,No,No,No,No,Yes,Somewhat difficult,No,Very difficult,Stressed
2022-0176,2022,18-30,Alberta,"40,000",11.4,No,N,No,No,Yes,Somewhat manageable,no,Manageable,Coping
2022-0177,2022,40-50,ontario ,NA,0.0,No,N,No,No,Y,Difficult,Y,Manageable,Stressed
2022-0178,2022,40-50,Ontario,NA,4.2,Yes,No,No,No,No,Very difficult,N,Very difficult,Stressed
2022-0179,2022,30-40,Alberta,30000,12.1,No,N,No,Yes,No,Very manageable,Yes,Difficult,Coping
2022-0180,2022,40-50,Alberta,"$42,100",8.8,No,No,No,No,Yes,NA,No,Neither,Coping
2022-0181,2022,40-50,British Columbia,"$88,400",8.1,No,No,Yes,No,No,Somewhat difficult,NA,Manageable,Coping
2022-0182,2022,18-30,British Columbia,67700,13.0,No,Yes,No,No,No,Difficult,N,Neither,Coping
2022-0183,2022,30-40,Saskatchewan,30000,20.1,NA,NA,NA,NA,NA,Neither,Y,Very difficult,Coping
2022-0184,2022,40-50,British Columbia,NA,19.0,No,Y,No,No,No,Somewhat manageable,Yes,Difficult,Comfortable
2022-0185,2022,50-65,Alberta,"85,600",11.7,Yes,N,No,No,N,Neither,Yes,Difficult,Stressed
2022-0186,2022,18-30,British Columbia,48K,14.7,No,N,No,No,Yes,Somewhat manageable,No,Difficult,Coping
2022-0187,2022,30-40,Alberta,"$101,100",17.5,Yes,No,no,no,N,Very difficult,No,Difficult,Coping
2022-0188,2022,30-40,Alberta,79100,13.7,Yes,no,No,No,No,Manageable,No,Manageable,Comfortable
2022-0189,2022,40-50,Manitoba,139K,16.6,Yes,No,No,No,N,Somewhat manageable,No,Very difficult,Comfortable
2022-0190,2022,30-40,British Columbia,43300,5.0,no,Yes,No,No,N,Very difficult,Y,Manageable,Stressed
2022-0191,2022,30-40,Alberta,30000,14.3,No,No,No,Yes,No,Somewhat manageable,Yes,Manageable,Coping
2022-0192,2022,50-65,Ontario,"$97,000",23.5,No,No,No,No,Yes,Neither,N,Manageable,Comfortable
2022-0193,2022,30-40,Ontario,84000,11.8,No,No,Yes,No,No,Manageable,N,Neither,Coping
2022-0194,2022,30-40,Alberta,30000,16.3,No,no,No,Yes,No,Neither,Yes,Difficult,Coping
2022-0196,2022,30-40,British Columbia,"$85,600",10.4,No,No,Yes,No,N,Manageable,No,Difficult,Stressed
2022-0197,2022,40-50,Saskatchewan,61100,17.1,NA,NA,NA,NA,NA,Neither,No,Difficult,Coping
2022-0198,2022,40-50,quebec,"30,000",22.7,No,No,Y,No,No,Neither,Yes,Manageable,Comfortable
2022-0199,2022,40-50,New Brunswick,"$148,800",NA,No,no,Yes,No,No,Somewhat difficult,No,Very difficult,Stressed
2022-0200,2022,40-50,British Columbia,"68,900",15.3,No,N,Yes,No,No,Very manageable,yes,Difficult,Coping
2022-0201,2022,50-65,Ontario,"$185,000",NA,Yes,N,No,N,No,Neither,NA,Manageable,Coping
2022-0202,2022,30-40,Manitoba,"$77,900",19.4,No,N,no,No,Yes,Manageable,No,Manageable,Comfortable
2022-0203,2022,18-30,Alberta,76200,20.1,NA,NA,NA,NA,NA,Manageable,NA,Difficult,Comfortable
2022-0204,2022,18-30,ON,"$59,900",8.7,No,No,No,No,Yes,Somewhat manageable,No,Very difficult,Comfortable
2022-0205,2022,30-40,Ontario,"30,000",8.4,Yes,No,no,No,No,Difficult,Yes,Difficult,Stressed
2022-0206,2022,18-30,Ontario,30000,9.3,no,N,No,No,Yes,Manageable,No,Manageable,Comfortable
2022-0207,2022,40-50,Ontario,"$85,200",15.0,No,No,No,N,Yes,Very manageable,No,Manageable,Comfortable
2022-0208,2022,50-65,quebec,"$130,700",11.2,Yes,No,No,no,No,Somewhat manageable,No,Difficult,Coping
2022-0209,2022,50-65,Ontario,30000,6.6,No,No,N,no,Y,Difficult,No,Neither,Coping
2022-0210,2022,40-50,Ontario,96K,6.4,No,No,No,no,Yes,Difficult,No,Very manageable,Stressed
2022-0211,2022,65+,Ontario,72900,18.5,yes,No,no,No,No,Very difficult,N,Manageable,Comfortable
2022-0213,2022,18-30,Saskatchewan,"$59,000",14.4,No,yes,No,no,N,Somewhat manageable,N,Neither,Coping
2022-0214,2022,50-65,Ontario,"146,700",12.7,No,Yes,No,N,No,Somewhat manageable,No,Very manageable,Comfortable
2022-0215,2022,18-30,ontario ,110300,30.0,No,Yes,No,No,no,Very manageable,no,Very manageable,Comfortable
2022-0216,2022,30-40,Ontario,"99,400",17.2,No,Yes,No,No,No,Manageable,no,Difficult,Comfortable
2022-0217,2022,40-50,British Columbia,"$142,000",4.0,NA,NA,NA,NA,NA,Somewhat manageable,no,Difficult,Coping
2022-0218,2022,30-40,Quebec,71000,1.1,No,No,No,No,Yes,Somewhat manageable,No,Very difficult,Stressed
2022-0219,2022,30-40,Alberta,"$228,200",17.9,no,Yes,No,N,No,Somewhat manageable,no,Manageable,Coping
2022-0220,2022,18-30,British Columbia,30000,4.0,No,No,No,No,Yes,Somewhat manageable,Yes,Very difficult,Stressed
2022-0221,2022,30-40,Manitoba,64K,8.5,no,N,No,No,Yes,Very manageable,N,Very manageable,Comfortable
2022-0222,2022,50-65,Ontario,153100,16.1,No,No,No,N,Yes,Neither,No,Very difficult,Coping
2022-0223,2022,30-40,Ontario,"127,600",8.5,No,No,No,No,Yes,Somewhat difficult,No,Neither,Coping
2022-0224,2022,18-30,Alberta,"99,400",9.3,No,No,N,No,Yes,Difficult,Yes,Difficult,Stressed
2022-0225,2022,18-30,Alberta,101300,16.6,No,No,N,No,Yes,Manageable,No,Neither,Coping
2022-0226,2022,18-30,British Columbia,30000,19.9,no,No,Yes,No,No,Somewhat difficult,No,Manageable,Comfortable
2022-0227,2022,40-50,British Columbia,177000,25.4,No,No,N,No,Yes,Very manageable,No,Manageable,Coping
2022-0228,2022,40-50,Alberta,85800,0.0,No,Yes,No,no,No,Difficult,no,Difficult,Stressed
2022-0229,2022,18-30,Ontario,137300,1.9,No,Yes,No,No,No,Neither,N,Difficult,Stressed
2022-0230,2022,18-30,British Columbia,"$30,000",9.5,No,No,No,Y,No,Somewhat difficult,No,Manageable,Coping
2022-0231,2022,40-50,British Columbia,"110,300",17.3,N,No,Yes,No,No,Somewhat manageable,Yes,Manageable,Stressed
2022-0232,2022,18-30,British Columbia,"45,300",30.0,No,no,No,No,Yes,Difficult,No,Manageable,Comfortable
2022-0233,2022,40-50,Ontario,130600,18.7,no,No,N,N,Yes,Neither,NA,Manageable,Coping
2022-0234,2022,30-40,Ontario,92K,2.0,No,No,No,Y,No,Neither,Yes,Difficult,Stressed
2022-0235,2022,18-30,Alberta,"90,300",13.3,No,N,No,No,yes,Somewhat manageable,N,Very manageable,Comfortable
2022-0236,2022,40-50,British Columbia,40100,6.0,No,No,No,Yes,No,Somewhat difficult,No,Neither,Coping
2022-0237,2022,65+,Ontario,129K,2.1,No,No,No,Yes,No,Somewhat manageable,No,Manageable,Stressed
2022-0238,2022,40-50,Alberta,94500,20.0,Yes,N,No,No,No,NA,Yes,Manageable,Coping
2022-0239,2022,40-50,Ontario,117800,4.8,Yes,No,N,No,N,Very difficult,No,Difficult,Stressed
2022-0240,2022,40-50,Saskatchewan,"$145,500",10.3,No,no,No,No,yes,Neither,No,Very difficult,Coping
2022-0241,2022,18-30,Ontario,66000,23.4,no,No,No,No,Yes,Somewhat manageable,No,Manageable,Comfortable
2022-0242,2022,18-30,Saskatchewan,30000,6.4,No,No,no,yes,no,Neither,No,Manageable,Comfortable
2022-0243,2022,18-30,Manitoba,"62,400",11.3,No,no,Yes,No,No,Somewhat manageable,No,Neither,Coping
2022-0244,2022,50-65,New Brunswick,252K,4.4,yes,No,No,No,No,Difficult,No,Very manageable,Coping
2022-0245,2022,50-65,Alberta,199300,4.5,N,No,No,Yes,No,Somewhat difficult,no,Difficult,Stressed
2022-0246,2022,40-50,Alberta,"$30,000",7.5,N,no,No,Yes,No,Somewhat difficult,No,Difficult,Coping
2022-0247,2022,40-50,British Columbia,"96,200",2.8,No,No,No,Yes,no,Neither,No,Difficult,Stressed
2022-0248,2022,18-30,Ontario,108100,12.4,No,No,No,No,Yes,Neither,No,NA,Coping
2022-0249,2022,30-40,Ontario,"$76,400",7.1,No,No,No,No,Y,Difficult,Yes,Difficult,Stressed
