respondent_id,year,age,province,income,savings_pct,benefit_retirement,benefit_education,benefit_health,benefit_wages,benefit_timeoff,benefit_worklife,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2017-0066,2017,34,Alberta,"146,800",16.2,No,yes,No,N,No,No,Somewhat manageable,No,Manageable,Coping
2017-0067,2017,46,British Columbia,83400,15.5,No,Yes,N,No,No,No,Somewhat manageable,Yes,Manageable,Coping
2017-0068,2017,34,Alberta,NA,18.1,no,No,N,Yes,No,N,Neither,No,Manageable,Coping
2017-0069,2017,40,Manitoba,89K,16.6,No,N,No,No,no,Yes,Difficult,No,Difficult,Stressed
2017-0070,2017,52,British Columbia,132600,15.0,N,No,Yes,No,no,No,Somewhat difficult,No,Neither,Coping
2017-0071,2017,33,Ontario,"57,500",7.4,Yes,No,No,No,N,No,Manageable,Yes,Neither,Stressed
2017-0072,2017,50,Alberta,81100,NA,Yes,N,N,No,No,No,Somewhat difficult,Yes,Very difficult,Coping
2017-0073,2017,48,Ontario,"$128,700",28.8,No,Yes,No,no,No,N,Somewhat manageable,No,Manageable,Comfortable
2017-0074,2017,29,British Columbia,79900,6.4,No,No,No,No,No,Yes,Somewhat difficult,Yes,Somewhat difficult,Stressed
2017-0075,2017,52,British Columbia,42K,8.0,No,No,No,Yes,No,N,Difficult,No,Difficult,Stressed
2017-0076,2017,48,British Columbia,"$60,200",9.0,No,No,No,N,Yes,No,Difficult,No,Difficult,Stressed
2017-0077,2017,41,ON,"$131,500",9.8,No,No,Yes,No,No,no,Very difficult,No,Difficult,Stressed
2017-0078,2017,31,Ontario,83600,5.9,no,No,No,No,no,Yes,Somewhat manageable,Yes,Neither,Coping
2017-0079,2017,30,Manitoba,"$47,100",4.7,No,No,Y,No,No,No,Somewhat manageable,No,Somewhat manageable,Coping
2017-0080,2017,34,Ontario,"$70,900",15.8,No,No,No,No,No,Y,Very manageable,No,Manageable,Comfortable
2017-0081,2017,47,Ontario,"$95,900",8.2,No,N,No,No,No,Yes,Manageable,N,Somewhat difficult,Coping
2017-0082,2017,29,British Columbia,"$90,600",10.1,No,No,No,Yes,No,No,Neither,No,Somewhat difficult,Coping
2017-0083,2017,45,Quebec,51800,26.4,no,No,N,No,No,Y,Very manageable,No,Very manageable,Comfortable
2017-0084,2017,25,British Columbia,"$37,300",7.2,no,No,Yes,No,N,No,Neither,N,Very difficult,Stressed
2017-0085,2017,38,Alberta,90K,9.0,No,No,No,No,N,Yes,Neither,No,Somewhat difficult,Stressed
2017-0086,2017,41,Ontario,83500,1.9,Yes,No,No,no,no,N,Neither,No,Somewhat difficult,Stressed
2017-0087,2017,65,alberta,"$139,700",11.2,N,N,Yes,N,no,No,Neither,No,Somewhat manageable,Coping
2017-0088,2017,23,British Columbia,30000,17.5,no,Yes,No,No,N,No,Neither,No,Manageable,Coping
2017-0089,2017,58,Ontario,122700,11.0,Yes,No,No,no,No,No,Somewhat difficult,No,Neither,Stressed
2017-0090,2017,42,Alberta,120700,9.7,NA,NA,NA,NA,NA,NA,Difficult,No,Very manageable,Coping
2017-0091,2017,45,Ontario,"$107,100",8.8,No,No,Yes,N,No,N,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0092,2017,41,Saskatchewan,90700,NA,no,No,No,N,Y,No,Difficult,No,Somewhat difficult,Coping
2017-0093,2017,45,ON,90K,13.9,No,No,No,Yes,No,no,Very difficult,Y,Somewhat difficult,Coping
2017-0094,2017,38,Ontario,"$57,000",9.8,No,No,yes,no,No,N,Very manageable,Yes,Neither,Coping
2017-0095,2017,57,Ontario,"$108,300",13.0,NA,NA,NA,NA,NA,NA,Somewhat manageable,no,Neither,Coping
2017-0096,2017,35,Yukon,"$115,300",14.6,No,No,No,No,No,Yes,NA,N,NA,Coping
2017-0097,2017,54,British Columbia,"$102,400",13.1,Yes,No,No,No,No,No,Neither,No,Somewhat difficult,Coping
2017-0098,2017,32,Alberta,46300,7.8,N,no,No,Y,N,No,Somewhat difficult,No,Difficult,Stressed
2017-0099,2017,39,Ontario,"$68,700",0.8,No,No,no,N,No,Yes,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0100,2017,27,Ontario,72K,15.3,NA,NA,NA,NA,NA,NA,Very manageable,no,Manageable,Comfortable
2017-0101,2017,45,Alberta,81300,21.0,No,No,Yes,N,No,N,Manageable,N,Manageable,Comfortable
2017-0102,2017,57,Ontario,125K,13.0,No,No,No,No,Yes,N,Neither,Yes,Very manageable,Coping
2017-0103,2017,39,Alberta,99200,5.2,No,Y,N,No,No,no,Difficult,No,Difficult,Stressed
2017-0104,2017,38,Quebec,"108,700",20.8,No,No,Yes,No,No,N,Very manageable,Y,Somewhat manageable,Comfortable
2017-0105,2017,27,British Columbia,108200,22.4,No,No,N,No,No,Yes,Very manageable,No,Very manageable,Comfortable
2017-0106,2017,37,AB,110400,19.3,No,No,no,N,Y,N,Neither,No,Somewhat manageable,Coping
2017-0107,2017,21,Alberta,"30,000",NA,no,no,N,No,No,Yes,Neither,No,Somewhat manageable,Coping
2017-0108,2017,29,BC,41K,10.0,Yes,No,No,No,No,No,Somewhat difficult,No,Somewhat difficult,Stressed
2017-0109,2017,43,British Columbia,"$87,200",5.3,N,Yes,N,No,No,N,Somewhat difficult,No,Very difficult,Stressed
2017-0110,2017,56,alberta,"$95,500",26.0,Y,No,No,No,N,No,Very manageable,Yes,Very manageable,Comfortable
2017-0111,2017,65,British Columbia,88400,16.3,NA,NA,NA,NA,NA,NA,Somewhat manageable,Yes,Somewhat manageable,Coping
2017-0112,2017,33,Alberta,61200,12.3,Y,No,No,No,No,No,Somewhat difficult,No,Neither,Stressed
2017-0113,2017,57,Manitoba,96K,18.3,No,no,Yes,no,No,no,Neither,N,Neither,Coping
2017-0114,2017,43,Manitoba,69K,17.5,No,N,No,Yes,N,No,Neither,No,Neither,Coping
2017-0115,2017,38,British Columbia,72K,NA,No,No,No,no,No,Yes,Very difficult,Yes,Difficult,Stressed
2017-0116,2017,45,British Columbia,128K,23.7,No,No,Y,No,N,No,Manageable,no,Manageable,Comfortable
2017-0117,2017,41,Alberta,92K,29.4,NA,NA,NA,NA,NA,NA,Very manageable,No,Somewhat manageable,Comfortable
2017-0118,2017,41,Alberta,"$160,700",10.1,No,No,N,N,No,Yes,Somewhat manageable,no,Very difficult,Coping
2017-0119,2017,35,British Columbia,82600,10.2,NA,NA,NA,NA,NA,NA,Somewhat difficult,Yes,Neither,Coping
2017-0120,2017,23,Ontario,50800,15.1,No,N,No,No,No,Yes,Somewhat manageable,no,Very manageable,Coping
2017-0121,2017,21,Yukon,56600,16.5,Yes,no,No,N,No,No,Somewhat manageable,No,Neither,Coping
2017-0122,2017,48,Quebec,104700,9.1,No,No,no,N,Yes,N,Neither,No,Neither,Coping
2017-0123,2017,37,ontario ,"93,600",7.6,No,No,No,N,No,Yes,Somewhat difficult,Yes,Neither,Stressed
2017-0124,2017,33,Ontario,137K,13.4,No,No,N,No,Y,No,Somewhat manageable,N,Manageable,Coping
2017-0125,2017,40,british columbia,"$59,600",0.0,No,N,No,N,Yes,No,Neither,No,Neither,Stressed
2017-0126,2017,50,ON,"125,800",12.7,No,no,No,Yes,N,No,Somewhat difficult,No,Manageable,Coping
2017-0127,2017,42,Ontario,94200,13.1,No,Yes,N,No,no,No,Somewhat difficult,N,Difficult,Coping
2017-0128,2017,32,Ontario,"30,000",7.2,No,No,No,No,N,Yes,Somewhat difficult,No,Manageable,Stressed
2017-0129,2017,55,Quebec,"$130,600",15.1,No,No,No,N,no,Yes,Very difficult,no,Manageable,Stressed
2017-0130,2017,59,New Brunswick,NA,6.7,NA,NA,NA,NA,NA,NA,Neither,No,Neither,Coping
2017-0132,2017,52,Ontario,102700,3.7,N,Yes,No,No,No,No,Neither,No,Neither,Comfortable
2017-0133,2017,55,British Columbia,55700,11.1,No,No,No,No,Yes,No,Neither,No,Neither,Coping
2017-0134,2017,54,Quebec,"$68,200",11.6,No,No,Yes,No,N,N,Very manageable,No,Somewhat difficult,Coping
2017-0135,2017,47,Alberta,"126,900",10.9,N,No,Y,No,No,No,Somewhat manageable,No,Very difficult,Coping
2017-0137,2017,46,Ontario,60700,28.0,N,Yes,no,No,N,N,Manageable,Yes,Neither,Comfortable
2017-0138,2017,27,AB,"72,400",14.5,No,No,No,Yes,No,No,Somewhat difficult,no,Somewhat manageable,Coping
2017-0139,2017,48,Ontario,81300,19.4,No,Y,N,no,No,No,Neither,N,Neither,Comfortable
2017-0140,2017,24,Alberta,46900,13.1,Yes,No,No,No,No,No,Neither,No,Somewhat difficult,Stressed
2017-0141,2017,30,Ontario,92200,13.9,Yes,no,No,No,N,No,NA,no,Neither,Coping
2017-0142,2017,56,ON,74100,9.1,No,No,No,No,No,yes,Neither,Yes,Neither,Coping
2017-0143,2017,50,Ontario,72800,10.0,NA,NA,NA,NA,NA,NA,Somewhat difficult,No,Manageable,Comfortable
2017-0144,2017,58,Ontario,"$116,600",11.4,Yes,No,No,no,N,no,Manageable,No,Very manageable,Coping
2017-0145,2017,37,AB,110K,18.5,No,No,N,Yes,No,No,Difficult,No,Neither,Coping
2017-0146,2017,26,British Columbia,"101,100",NA,no,no,Yes,No,N,No,Neither,No,Very manageable,Stressed
2017-0147,2017,37,Manitoba,"60,500",14.4,NA,NA,NA,NA,NA,NA,Neither,No,Somewhat manageable,Coping
2017-0148,2017,41,Alberta,114600,9.4,No,No,No,No,N,Yes,Somewhat manageable,No,Somewhat manageable,Coping
2017-0149,2017,41,Nova Scotia,"$63,000",6.9,no,N,Yes,N,No,No,Somewhat difficult,No,Somewhat difficult,Coping
2017-0150,2017,54,British Columbia,160800,10.8,N,No,Yes,N,No,No,Difficult,Yes,Very difficult,Stressed
2017-0151,2017,36,Manitoba,45K,9.6,No,No,Yes,No,No,No,Manageable,No,Very manageable,Comfortable
2017-0152,2017,44,New Brunswick,131K,25.9,Yes,No,No,N,no,N,Very manageable,No,Manageable,Comfortable
2017-0153,2017,28,Quebec,47K,12.1,No,No,Yes,No,No,No,Difficult,Yes,Somewhat difficult,Stressed
2017-0154,2017,45,BC,"152,900",16.6,No,Yes,No,N,No,No,Neither,Y,Manageable,Coping
2017-0155,2017,40,Quebec,"102,700",6.9,Y,N,No,No,No,No,Somewhat difficult,Yes,Somewhat difficult,Stressed
2017-0156,2017,31,New Brunswick,"41,000",17.4,No,No,No,No,Yes,No,Somewhat difficult,Yes,Manageable,Coping
2017-0157,2017,37,British Columbia,"$64,800",8.9,Yes,No,No,No,No,no,NA,No,Somewhat difficult,Stressed
2017-0158,2017,38,Ontario,"$105,400",9.3,Y,No,No,No,No,N,Somewhat difficult,Yes,Very manageable,Coping
2017-0159,2017,37,New Brunswick,"$112,100",25.1,No,No,No,yes,No,No,Somewhat manageable,No,Somewhat difficult,Coping
2017-0160,2017,61,british columbia,"$114,400",19.5,No,N,Yes,No,no,No,Neither,Yes,Somewhat difficult,Comfortable
2017-0161,2017,39,Ontario,84800,11.9,No,Yes,No,N,No,No,Somewhat difficult,yes,Neither,Stressed
2017-0162,2017,37,Alberta,103300,5.1,Yes,No,N,No,No,No,Manageable,no,Somewhat difficult,Comfortable
2017-0163,2017,18,British Columbia,56000,14.4,No,Yes,No,No,No,No,Somewhat difficult,Y,Manageable,Stressed
2017-0164,2017,29,Ontario,30000,15.3,NA,NA,NA,NA,NA,NA,Somewhat difficult,No,Neither,Stressed
2017-0165,2017,37,Manitoba,"$56,100",14.2,No,No,N,No,No,yes,Very manageable,No,Somewhat difficult,Coping
2017-0166,2017,32,Ontario,"$80,100",17.4,No,No,N,No,N,Yes,Neither,yes,Somewhat difficult,Coping
2017-0167,2017,57,British Columbia,147K,25.9,No,no,Yes,No,No,No,Very manageable,No,Very manageable,Comfortable
2017-0168,2017,38,Saskatchewan,130500,17.5,No,No,yes,No,No,No,Somewhat manageable,No,Manageable,Comfortable
2017-0169,2017,55,Ontario,"$130,900",17.3,No,No,No,No,Yes,No,Neither,No,Manageable,Coping
2017-0170,2017,41,Saskatchewan,95100,16.3,No,No,No,No,Y,No,Somewhat difficult,N,Somewhat difficult,Comfortable
2017-0171,2017,40,Ontario,108K,5.0,No,Yes,No,No,No,N,Somewhat difficult,No,Manageable,Stressed
2017-0172,2017,39,Alberta,"$63,500",20.8,Yes,No,No,No,No,No,Somewhat manageable,No,Neither,Coping
2017-0173,2017,40,Ontario,"$80,400",12.9,No,No,N,Yes,No,No,Neither,No,Neither,Stressed
2017-0174,2017,61,Alberta,92K,17.1,No,No,N,Yes,No,No,Manageable,No,Somewhat manageable,Comfortable
2017-0175,2017,18,ON,"$30,000",4.3,No,Yes,No,No,N,N,Somewhat difficult,No,NA,Stressed
2017-0176,2017,18,Ontario,"$62,000",4.8,No,N,Yes,No,No,N,Difficult,Y,Manageable,Stressed
2017-0177,2017,33,British Columbia,80100,18.4,No,No,Yes,No,No,No,Difficult,No,Very manageable,Coping
2017-0178,2017,40,quebec,"105,600",15.0,No,No,Yes,No,No,No,Very manageable,N,Somewhat manageable,Comfortable
2017-0179,2017,48,Alberta,"$113,400",24.5,no,No,No,Yes,N,No,Somewhat manageable,No,Very manageable,Comfortable
2017-0180,2017,46,ontario ,"101,300",18.5,No,N,No,No,No,Yes,Difficult,No,Somewhat difficult,Coping
2017-0181,2017,35,Ontario,94200,21.4,No,No,No,Yes,No,No,Very manageable,No,Somewhat difficult,Comfortable
2017-0182,2017,52,alberta,101700,29.1,Yes,No,No,No,No,No,Very manageable,No,Difficult,Comfortable
2017-0183,2017,52,Ontario,115400,12.2,NA,NA,NA,NA,NA,NA,Somewhat manageable,no,Neither,Coping
2017-0184,2017,42,ontario ,"66,200",12.7,NA,NA,NA,NA,NA,NA,Neither,no,Difficult,Coping
2017-0185,2017,52,AB,114K,15.2,No,No,yes,No,No,N,Very manageable,No,Somewhat manageable,Comfortable
2017-0186,2017,43,Ontario,109600,20.1,Yes,N,No,No,No,No,Somewhat difficult,No,NA,Coping
2017-0187,2017,33,British Columbia,"54,400",9.4,No,No,Yes,No,No,No,Neither,no,Somewhat manageable,Coping
2017-0188,2017,48,Ontario,"$98,600",9.7,No,No,No,no,No,Yes,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0189,2017,41,Alberta,"$67,800",13.6,No,No,N,No,No,Yes,Very manageable,No,Somewhat manageable,Coping
2017-0190,2017,40,Saskatchewan,69K,2.7,NA,NA,NA,NA,NA,NA,Somewhat manageable,Y,Difficult,Stressed
2017-0191,2017,58,Quebec,NA,17.7,NA,NA,NA,NA,NA,NA,Very manageable,No,Manageable,Comfortable
2017-0192,2017,18,Alberta,"$90,000",14.9,No,No,No,Yes,N,No,Difficult,No,Difficult,Stressed
2017-0193,2017,23,British Columbia,91500,9.0,N,No,No,Y,No,No,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0194,2017,26,Ontario,"$80,100",14.9,No,Yes,No,No,N,No,Somewhat manageable,Yes,Manageable,Comfortable
2017-0195,2017,36,Ontario,"138,200",NA,N,No,No,no,no,Y,Somewhat manageable,N,NA,Stressed
2017-0196,2017,37,Northwest Territories and Nunavut,"$74,800",7.3,No,No,No,No,Yes,No,Difficult,No,Very difficult,Stressed
2017-0197,2017,22,Alberta,"149,000",30.0,No,Yes,No,No,No,No,Difficult,N,Manageable,Coping
2017-0198,2017,28,alberta,"$60,200",24.0,No,No,No,N,No,Yes,NA,Yes,Very manageable,Comfortable
2017-0199,2017,30,Yukon,"77,700",6.1,No,No,yes,No,no,No,Somewhat difficult,N,Neither,Stressed
2017-0200,2017,65,Nova Scotia,110600,22.5,Yes,No,No,No,No,N,Manageable,NA,Very manageable,Coping
2017-0202,2017,35,ontario ,"$102,600",NA,No,No,No,No,No,yes,Very manageable,N,Neither,Comfortable
2017-0203,2017,36,Quebec,"75,600",26.0,No,No,No,N,No,Yes,Difficult,NA,Somewhat manageable,Coping
2017-0204,2017,26,Alberta,"$117,300",7.4,No,no,No,Yes,No,no,Very difficult,No,Somewhat difficult,Stressed
2017-0205,2017,18,Alberta,59200,0.0,NA,NA,NA,NA,NA,NA,Somewhat difficult,No,Somewhat difficult,Stressed
2017-0206,2017,39,Quebec,"91,600",6.0,No,no,No,No,No,Yes,Difficult,No,Difficult,Stressed
2017-0207,2017,28,Saskatchewan,39700,15.3,No,No,no,No,No,yes,Somewhat difficult,Yes,Very manageable,Stressed
2017-0208,2017,39,British Columbia,"$96,100",16.3,No,No,N,No,No,Yes,Very difficult,Yes,Somewhat manageable,Coping
2017-0209,2017,21,British Columbia,"52,500",3.8,no,No,Yes,No,no,No,Very difficult,NA,Difficult,Stressed
2017-0210,2017,31,Nova Scotia,53300,9.9,N,N,No,N,No,Yes,Somewhat manageable,No,Neither,Coping
2017-0211,2017,42,New Brunswick,64700,10.6,No,No,No,No,Yes,No,Somewhat difficult,No,Neither,Coping
2017-0212,2017,44,Alberta,171K,16.2,N,N,N,No,N,Yes,Somewhat manageable,No,Somewhat manageable,Coping
2017-0214,2017,24,British Columbia,30000,29.4,No,No,No,No,No,Yes,Somewhat difficult,N,Neither,Comfortable
2017-0215,2017,50,ontario ,79100,16.7,NA,NA,NA,NA,NA,NA,Manageable,N,Neither,Coping
2017-0216,2017,30,alberta,"$68,500",6.0,No,No,Yes,No,No,No,Neither,Yes,Somewhat manageable,Coping
2017-0217,2017,48,Alberta,"113,400",1.4,NA,NA,NA,NA,NA,NA,Somewhat difficult,Yes,Somewhat difficult,Stressed
2017-0218,2017,40,Ontario,101600,10.7,N,N,yes,No,No,No,Very difficult,Yes,Somewhat difficult,Stressed
2017-0219,2017,23,British Columbia,"$79,800",12.6,No,Y,No,No,No,No,Very manageable,No,Somewhat difficult,Comfortable
2017-0220,2017,36,Ontario,59700,12.6,Yes,No,No,No,No,No,Somewhat manageable,No,Somewhat difficult,Coping
2017-0221,2017,44,Alberta,101200,15.8,no,No,N,No,No,Yes,Somewhat manageable,No,Neither,Coping
2017-0222,2017,47,Saskatchewan,"$69,200",7.2,N,N,No,No,Yes,N,Very manageable,Yes,Manageable,Coping
2017-0223,2017,38,Ontario,63400,7.9,N,no,yes,No,No,No,Neither,No,Neither,Coping
2017-0224,2017,58,QC,84K,21.3,No,no,No,Yes,N,No,Very manageable,No,Neither,Comfortable
2017-0225,2017,52,Alberta,"$67,300",10.5,No,Yes,No,No,no,No,Neither,No,Neither,Stressed
2017-0226,2017,37,British Columbia,"$112,400",29.4,No,No,N,Yes,No,No,Very manageable,No,Very manageable,Comfortable
2017-0227,2017,49,Manitoba,"$119,200",11.0,no,No,N,No,No,Yes,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0228,2017,63,Ontario,148800,14.4,No,No,No,Yes,N,No,Very manageable,Y,Very difficult,Coping
2017-0229,2017,64,British Columbia,"122,200",9.5,N,N,No,No,Yes,N,Somewhat difficult,No,Somewhat manageable,Coping
2017-0230,2017,25,Alberta,86K,NA,No,no,No,No,Yes,No,Neither,no,Somewhat difficult,Stressed
2017-0232,2017,58,British Columbia,"$137,900",16.5,Yes,no,No,No,No,No,Somewhat manageable,Yes,Somewhat difficult,Coping
2017-0233,2017,27,Manitoba,70800,24.4,No,N,yes,No,No,no,Somewhat manageable,No,Very difficult,Comfortable
2017-0234,2017,24,British Columbia,79800,1.4,Yes,No,no,N,No,No,Very manageable,No,Neither,Coping
2017-0236,2017,45,Ontario,"62,900",30.0,No,No,N,No,Yes,No,Manageable,no,Somewhat manageable,Comfortable
2017-0237,2017,39,Manitoba,"38,600",14.5,No,No,N,No,No,yes,Somewhat manageable,no,Somewhat difficult,Coping
2017-0238,2017,32,British Columbia,"$51,600",12.1,no,No,Yes,No,No,No,Somewhat manageable,No,Somewhat manageable,Comfortable
2017-0239,2017,32,Ontario,89900,19.8,Y,no,N,No,No,No,Neither,N,Somewhat manageable,Stressed
2017-0240,2017,31,Ontario,92200,7.9,No,No,No,No,Yes,No,Very difficult,No,NA,Stressed
2017-0241,2017,29,Manitoba,30000,24.7,NA,NA,NA,NA,NA,NA,Very manageable,Yes,Manageable,Comfortable
