respondent_id,year,age,province,income,savings_pct,benefits_preference,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2017-0146,2017,26,British Columbia,101100,19.4,Health benefits,Neither,No,Very manageable,Stressed
2017-0147,2017,37,Manitoba,60500,14.4,NA,Neither,No,Somewhat manageable,Coping
2017-0148,2017,41,Alberta,114600,9.4,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2017-0149,2017,41,Nova Scotia,63000,6.9,Health benefits,Somewhat difficult,No,Somewhat difficult,Coping
2017-0150,2017,54,British Columbia,160800,10.8,Health benefits,Difficult,Yes,Very difficult,Stressed
2017-0151,2017,36,Manitoba,45000,9.6,Health benefits,Manageable,No,Very manageable,Comfortable
2017-0152,2017,44,New Brunswick,130900,25.9,Better retirement funding,Very manageable,No,Manageable,Comfortable
2017-0153,2017,28,Quebec,47300,12.1,Health benefits,Difficult,Yes,Somewhat difficult,Stressed
2017-0154,2017,45,British Columbia,152900,16.6,Educational funding,Neither,Yes,Manageable,Coping
2017-0155,2017,40,Quebec,102700,6.9,Better retirement funding,Somewhat difficult,Yes,Somewhat difficult,Stressed
2017-0156,2017,31,New Brunswick,41000,17.4,More time off,Somewhat difficult,Yes,Manageable,Coping
2017-0157,2017,37,British Columbia,64800,8.9,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Stressed
2017-0158,2017,38,Ontario,105400,9.3,Better retirement funding,Somewhat difficult,Yes,Very manageable,Coping
2017-0159,2017,37,New Brunswick,112100,25.1,Higher wages,Somewhat manageable,No,Somewhat difficult,Coping
2017-0160,2017,61,British Columbia,114400,19.5,Health benefits,Neither,Yes,Somewhat difficult,Comfortable
2017-0161,2017,39,Ontario,84800,11.9,Educational funding,Somewhat difficult,Yes,Neither,Stressed
2017-0162,2017,37,Alberta,103300,5.1,Better retirement funding,Manageable,No,Somewhat difficult,Comfortable
2017-0163,2017,18,British Columbia,56000,14.4,Educational funding,Somewhat difficult,Yes,Manageable,Stressed
2017-0164,2017,29,Ontario,30000,15.3,Health benefits,Somewhat difficult,No,Neither,Stressed
2017-0165,2017,37,Manitoba,56100,14.2,Work-life balance,Very manageable,No,Somewhat difficult,Coping
2017-0166,2017,32,Ontario,80100,17.4,Work-life balance,Neither,Yes,Somewhat difficult,Coping
2017-0167,2017,57,British Columbia,147000,25.9,Health benefits,Very manageable,No,Very manageable,Comfortable
2017-0168,2017,38,Saskatchewan,130500,17.5,Health benefits,Somewhat manageable,No,Manageable,Comfortable
2017-0169,2017,55,Ontario,130900,17.3,More time off,Neither,No,Manageable,Coping
2017-0170,2017,41,Saskatchewan,95100,16.3,More time off,Somewhat difficult,No,Somewhat difficult,Comfortable
2017-0171,2017,40,Ontario,107500,5,Educational funding,Somewhat difficult,No,Manageable,Stressed
2017-0172,2017,39,Alberta,63500,20.8,Better retirement funding,Somewhat manageable,No,Neither,Coping
2017-0173,2017,40,Ontario,80400,12.9,Higher wages,Neither,No,Neither,Stressed
2017-0174,2017,61,Alberta,91800,17.1,Higher wages,Manageable,No,Somewhat manageable,Comfortable
2017-0175,2017,18,Ontario,30000,4.3,Educational funding,Somewhat difficult,No,Very difficult,Stressed
2017-0176,2017,18,Ontario,62000,4.8,Health benefits,Difficult,Yes,Manageable,Stressed
2017-0177,2017,33,British Columbia,80100,18.4,Health benefits,Difficult,No,Very manageable,Coping
2017-0178,2017,40,Quebec,105600,15,Health benefits,Very manageable,No,Somewhat manageable,Comfortable
2017-0179,2017,48,Alberta,113400,24.5,Higher wages,Somewhat manageable,No,Very manageable,Comfortable
2017-0180,2017,46,Ontario,101300,18.5,Work-life balance,Difficult,No,Somewhat difficult,Coping
2017-0181,2017,35,Ontario,94200,21.4,Higher wages,Very manageable,No,Somewhat difficult,Comfortable
2017-0182,2017,52,Alberta,101700,29.1,Better retirement funding,Very manageable,No,Difficult,Comfortable
2017-0183,2017,52,Ontario,115400,12.2,Better retirement funding,Somewhat manageable,No,Neither,Coping
2017-0184,2017,42,Ontario,66200,12.7,Work-life balance,Neither,No,Difficult,Coping
2017-0185,2017,52,Alberta,114100,15.2,Health benefits,Very manageable,No,Somewhat manageable,Comfortable
2017-0186,2017,43,Ontario,109600,20.1,Better retirement funding,Somewhat difficult,No,Difficult,Coping
2017-0187,2017,33,British Columbia,54400,9.4,Health benefits,Neither,No,Somewhat manageable,Coping
2017-0188,2017,48,Ontario,98600,9.7,Work-life balance,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0189,2017,41,Alberta,67800,13.6,Work-life balance,Very manageable,No,Somewhat manageable,Coping
2017-0190,2017,40,Saskatchewan,69200,2.7,Work-life balance,Somewhat manageable,Yes,Difficult,Stressed
2017-0191,2017,58,Quebec,78300,17.7,Higher wages,Very manageable,No,Manageable,Comfortable
2017-0192,2017,18,Alberta,90000,14.9,Higher wages,Difficult,No,Difficult,Stressed
2017-0193,2017,23,British Columbia,91500,9,Higher wages,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0194,2017,26,Ontario,80100,14.9,Educational funding,Somewhat manageable,Yes,Manageable,Comfortable
2017-0195,2017,36,Ontario,138200,9.5,Work-life balance,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0196,2017,37,Northwest Territories and Nunavut,74800,7.3,More time off,Difficult,No,Very difficult,Stressed
2017-0197,2017,22,Alberta,149000,30,Educational funding,Difficult,No,Manageable,Coping
2017-0198,2017,28,Alberta,60200,24,Work-life balance,Very manageable,Yes,Very manageable,Comfortable
2017-0199,2017,30,Yukon,77700,6.1,Health benefits,Somewhat difficult,No,Neither,Stressed
2017-0200,2017,65,Nova Scotia,110600,22.5,Better retirement funding,Manageable,Yes,Very manageable,Coping
2017-0201,2017,62,Quebec,129200,9.1,Better retirement funding,Somewhat difficult,No,Very manageable,Comfortable
2017-0202,2017,35,Ontario,102600,22.7,Work-life balance,Very manageable,No,Neither,Comfortable
2017-0203,2017,36,Quebec,75600,26,Work-life balance,Difficult,No,Somewhat manageable,Coping
2017-0204,2017,26,Alberta,117300,7.4,Higher wages,Very difficult,No,Somewhat difficult,Stressed
2017-0205,2017,18,Alberta,59200,0,NA,Somewhat difficult,No,Somewhat difficult,Stressed
2017-0206,2017,39,Quebec,91600,6,Work-life balance,Difficult,No,Difficult,Stressed
2017-0207,2017,28,Saskatchewan,39700,15.3,Work-life balance,Somewhat difficult,Yes,Very manageable,Stressed
2017-0208,2017,39,British Columbia,96100,16.3,Work-life balance,Very difficult,Yes,Somewhat manageable,Coping
2017-0209,2017,21,British Columbia,52500,3.8,Health benefits,Very difficult,No,Difficult,Stressed
2017-0210,2017,31,Nova Scotia,53300,9.9,Work-life balance,Somewhat manageable,No,Neither,Coping
2017-0211,2017,42,New Brunswick,64700,10.6,More time off,Somewhat difficult,No,Neither,Coping
2017-0212,2017,44,Alberta,171200,16.2,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2017-0213,2017,45,Quebec,84600,14.7,Educational funding,Neither,No,Manageable,Stressed
2017-0214,2017,24,British Columbia,30000,29.4,Work-life balance,Somewhat difficult,No,Neither,Comfortable
2017-0215,2017,50,Ontario,79100,16.7,NA,Manageable,No,Neither,Coping
2017-0216,2017,30,Alberta,68500,6,Health benefits,Neither,Yes,Somewhat manageable,Coping
2017-0217,2017,48,Alberta,113400,1.4,NA,Somewhat difficult,Yes,Somewhat difficult,Stressed
2017-0218,2017,40,Ontario,101600,10.7,Health benefits,Very difficult,Yes,Somewhat difficult,Stressed
2017-0219,2017,23,British Columbia,79800,12.6,Educational funding,Very manageable,No,Somewhat difficult,Comfortable
2017-0220,2017,36,Ontario,59700,12.6,Better retirement funding,Somewhat manageable,No,Somewhat difficult,Coping
2017-0221,2017,44,Alberta,101200,15.8,Work-life balance,Somewhat manageable,No,Neither,Coping
2017-0222,2017,47,Saskatchewan,69200,7.2,More time off,Very manageable,Yes,Manageable,Coping
2017-0223,2017,38,Ontario,63400,7.9,Health benefits,Neither,No,Neither,Coping
2017-0224,2017,58,Quebec,84500,21.3,Higher wages,Very manageable,No,Neither,Comfortable
2017-0225,2017,52,Alberta,67300,10.5,Educational funding,Neither,No,Neither,Stressed
2017-0226,2017,37,British Columbia,112400,29.4,Higher wages,Very manageable,No,Very manageable,Comfortable
2017-0227,2017,49,Manitoba,119200,11,Work-life balance,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0228,2017,63,Ontario,148800,14.4,Higher wages,Very manageable,Yes,Very difficult,Coping
2017-0229,2017,64,British Columbia,122200,9.5,More time off,Somewhat difficult,No,Somewhat manageable,Coping
2017-0230,2017,25,Alberta,85800,2.6,More time off,Neither,No,Somewhat difficult,Stressed
2017-0231,2017,29,Manitoba,30000,5.4,NA,Neither,No,Neither,Stressed
2017-0232,2017,58,British Columbia,137900,16.5,Better retirement funding,Somewhat manageable,Yes,Somewhat difficult,Coping
2017-0233,2017,27,Manitoba,70800,24.4,Health benefits,Somewhat manageable,No,Very difficult,Comfortable
2017-0234,2017,24,British Columbia,79800,1.4,Better retirement funding,Very manageable,No,Neither,Coping
2017-0235,2017,34,British Columbia,87400,16.5,More time off,Somewhat manageable,No,Manageable,Comfortable
2017-0236,2017,45,Ontario,62900,30,More time off,Manageable,No,Somewhat manageable,Comfortable
2017-0237,2017,39,Manitoba,38600,14.5,Work-life balance,Somewhat manageable,No,Somewhat difficult,Coping
2017-0238,2017,32,British Columbia,51600,12.1,Health benefits,Somewhat manageable,No,Somewhat manageable,Comfortable
2017-0239,2017,32,Ontario,89900,19.8,Better retirement funding,Neither,No,Somewhat manageable,Stressed
2017-0240,2017,31,Ontario,92200,7.9,More time off,Very difficult,No,Difficult,Stressed
2017-0241,2017,29,Manitoba,30000,24.7,NA,Very manageable,Yes,Manageable,Comfortable
2017-0242,2017,65,Ontario,93100,24.8,Better retirement funding,Very manageable,No,Manageable,Comfortable
2017-0243,2017,44,Saskatchewan,69300,6.2,Educational funding,Difficult,Yes,Somewhat difficult,Stressed
2017-0244,2017,51,Ontario,90800,9.6,Better retirement funding,Somewhat manageable,No,Very manageable,Coping
2017-0245,2017,34,Quebec,35100,26.7,Higher wages,Somewhat difficult,No,Manageable,Coping
2017-0246,2017,38,Ontario,39300,29,Health benefits,Very manageable,No,Neither,Comfortable
2017-0247,2017,31,Alberta,46800,18.9,Health benefits,Very manageable,No,Very difficult,Coping
2017-0248,2017,18,New Brunswick,54600,17.5,More time off,Somewhat difficult,No,Somewhat difficult,Coping
2017-0249,2017,23,Ontario,30000,8,Health benefits,Somewhat manageable,No,Somewhat difficult,Coping
2017-0250,2017,18,Yukon,48500,21.7,Health benefits,Somewhat manageable,Yes,Neither,Coping
2017-0251,2017,18,Nova Scotia,83800,8.9,Better retirement funding,Somewhat manageable,No,Manageable,Coping
2017-0252,2017,26,Alberta,30000,24,Work-life balance,Very manageable,No,Very manageable,Comfortable
2017-0253,2017,56,Ontario,102800,4.2,Health benefits,Neither,No,Somewhat difficult,Coping
2017-0254,2017,39,Alberta,114200,0,Health benefits,Somewhat difficult,No,Somewhat difficult,Stressed
2017-0255,2017,55,Ontario,95000,9.6,Better retirement funding,Difficult,Yes,Very difficult,Stressed
2017-0256,2017,45,Ontario,75300,9.1,More time off,Neither,Yes,Neither,Coping
2017-0257,2017,49,Ontario,133400,8.1,Work-life balance,Very manageable,No,Difficult,Comfortable
2017-0258,2017,29,Quebec,59300,10.7,Better retirement funding,Difficult,No,Manageable,Stressed
2017-0259,2017,46,Ontario,127100,18.6,Educational funding,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0260,2017,49,Ontario,111400,22.3,Educational funding,Somewhat difficult,No,Somewhat difficult,Coping
2017-0261,2017,33,Ontario,64200,6.7,More time off,Neither,No,Neither,Stressed
2017-0262,2017,47,Ontario,109900,22.1,Work-life balance,Manageable,No,Manageable,Comfortable
2017-0263,2017,47,Quebec,105100,19.3,Higher wages,Neither,No,Manageable,Coping
2017-0264,2017,33,Alberta,105100,13.6,Health benefits,Difficult,No,Somewhat difficult,Stressed
2017-0265,2017,27,Ontario,49000,19.6,Work-life balance,Manageable,No,Neither,Comfortable
2017-0266,2017,26,British Columbia,65200,8.2,Work-life balance,Manageable,No,Neither,Stressed
2017-0267,2017,41,Ontario,84700,9.5,Health benefits,Somewhat difficult,No,Very difficult,Stressed
2017-0268,2017,44,Ontario,112100,10.8,Educational funding,Somewhat difficult,No,Neither,Stressed
2017-0269,2017,30,New Brunswick,39200,7.3,Health benefits,Neither,No,Difficult,Stressed
2017-0270,2017,40,Alberta,115500,7.4,Work-life balance,Somewhat difficult,No,Neither,Stressed
2017-0271,2017,47,British Columbia,109500,14.9,Work-life balance,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0272,2017,47,Ontario,56000,14,Work-life balance,Difficult,No,Difficult,Stressed
2017-0273,2017,59,British Columbia,149700,10.4,Work-life balance,Difficult,Yes,Somewhat difficult,Stressed
2017-0274,2017,55,Alberta,174500,24.3,Better retirement funding,Somewhat manageable,No,Somewhat manageable,Coping
2017-0275,2017,28,Quebec,97100,11.7,Health benefits,Manageable,No,Somewhat difficult,Coping
2017-0276,2017,60,Ontario,157800,23.7,Better retirement funding,Very manageable,No,Neither,Coping
2017-0277,2017,34,British Columbia,78600,17.3,Work-life balance,Manageable,No,Somewhat manageable,Coping
2017-0278,2017,53,British Columbia,54700,30,Higher wages,Neither,Yes,Neither,Coping
