respondent_id,year,age,province,income,savings_pct,benefits_preference,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0106,2022,38,Ontario,99200,14.6,Health benefits,Somewhat difficult,No,Manageable,Coping
2022-0107,2022,23,Alberta,69300,0.0,Work-life balance,Neither,No,Very manageable,Stressed
2022-0108,2022,47,Alberta,79900,4.1,Better retirement funding,Difficult,Yes,Difficult,Stressed
2022-0109,2022,30,Alberta,70700,26.2,Work-life balance,Neither,Yes,Manageable,Comfortable
2022-0110,2022,24,Alberta,30000,16.8,NA,Somewhat difficult,Yes,Somewhat manageable,Comfortable
2022-0111,2022,28,Ontario,72500,6.0,Better retirement funding,Somewhat manageable,No,Neither,Coping
2022-0112,2022,43,Alberta,97400,7.1,Higher wages,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0113,2022,39,Ontario,43500,0.0,Higher wages,Neither,No,Neither,Comfortable
2022-0114,2022,18,Alberta,70400,0.9,Work-life balance,Difficult,No,Neither,Stressed
2022-0115,2022,35,Alberta,95600,17.3,More time off,Somewhat difficult,Yes,Neither,Coping
2022-0116,2022,54,Alberta,102700,3.1,Higher wages,Somewhat manageable,No,Difficult,Stressed
2022-0117,2022,35,Ontario,203600,8.2,Educational funding,Neither,No,Difficult,Coping
2022-0118,2022,38,Ontario,80000,1.7,Better retirement funding,Somewhat manageable,Yes,Somewhat manageable,Comfortable
2022-0119,2022,53,Ontario,95500,6.6,More time off,Neither,No,Manageable,Comfortable
2022-0120,2022,50,Alberta,83900,26.3,Higher wages,Very difficult,No,Somewhat manageable,Comfortable
2022-0121,2022,52,Ontario,59500,14.7,Work-life balance,Neither,No,Very difficult,Coping
2022-0122,2022,18,Ontario,91300,3.2,Work-life balance,Difficult,Yes,Somewhat difficult,Coping
2022-0123,2022,61,British Columbia,87200,13.6,Higher wages,Difficult,No,Manageable,Comfortable
2022-0124,2022,48,Alberta,73600,10.8,More time off,Difficult,No,Somewhat manageable,Coping
2022-0125,2022,65,Alberta,100600,3.8,Work-life balance,Somewhat difficult,No,Very difficult,Coping
2022-0126,2022,31,Alberta,30000,0.0,Work-life balance,Neither,No,Somewhat difficult,Stressed
2022-0127,2022,19,Quebec,30000,10.0,Work-life balance,Difficult,Yes,Neither,Coping
2022-0128,2022,40,Manitoba,66900,8.9,NA,Somewhat difficult,No,Neither,Stressed
2022-0129,2022,37,Ontario,129200,14.6,Higher wages,Somewhat manageable,No,Difficult,Coping
2022-0130,2022,48,Ontario,111800,10.4,Work-life balance,Somewhat manageable,Yes,Somewhat difficult,Stressed
2022-0131,2022,53,Manitoba,187500,1.7,More time off,Somewhat difficult,Yes,Very manageable,Coping
2022-0132,2022,39,Ontario,126000,6.3,Educational funding,Neither,No,Somewhat difficult,Stressed
2022-0133,2022,37,Alberta,111700,4.7,Work-life balance,Neither,No,Difficult,Stressed
2022-0134,2022,46,Ontario,193100,10.5,Higher wages,Very manageable,Yes,Very difficult,Coping
2022-0135,2022,37,Alberta,80600,4.9,Higher wages,Neither,No,Very difficult,Stressed
2022-0136,2022,36,British Columbia,87200,13.4,Educational funding,Neither,No,Very manageable,Comfortable
2022-0137,2022,52,British Columbia,107400,0.0,Work-life balance,Very manageable,No,Very manageable,Coping
2022-0138,2022,55,Ontario,189700,18.0,More time off,Manageable,No,Very difficult,Coping
2022-0139,2022,53,Ontario,109600,7.6,Health benefits,Difficult,No,Somewhat manageable,Stressed
2022-0140,2022,38,Ontario,54600,7.6,Educational funding,Neither,No,Somewhat difficult,Comfortable
2022-0141,2022,18,Alberta,86400,13.8,More time off,Very manageable,No,Neither,Coping
2022-0142,2022,38,Yukon,46200,8.3,Better retirement funding,Somewhat difficult,No,Somewhat manageable,Coping
2022-0143,2022,31,Alberta,103200,3.9,Health benefits,Neither,Yes,Difficult,Stressed
2022-0144,2022,38,Ontario,107700,6.4,Higher wages,Neither,No,Neither,Coping
2022-0145,2022,32,Ontario,68500,21.8,Work-life balance,Manageable,No,Manageable,Comfortable
2022-0146,2022,40,Ontario,118300,6.2,Higher wages,Difficult,No,Difficult,Coping
2022-0147,2022,28,New Brunswick,30000,0.5,Work-life balance,Somewhat difficult,Yes,Very manageable,Stressed
2022-0148,2022,25,Ontario,75600,11.7,Work-life balance,Somewhat difficult,No,Difficult,Stressed
2022-0149,2022,55,Ontario,89400,5.1,Health benefits,Somewhat manageable,No,Very difficult,Stressed
2022-0150,2022,28,Alberta,215100,10.1,Work-life balance,Somewhat difficult,No,Very manageable,Coping
2022-0151,2022,40,Ontario,97800,22.8,Educational funding,Somewhat difficult,Yes,Somewhat manageable,Comfortable
2022-0152,2022,51,Alberta,76700,13.3,Educational funding,Neither,No,Neither,Comfortable
2022-0153,2022,51,Ontario,37600,14.7,Better retirement funding,Somewhat difficult,No,Neither,Comfortable
2022-0154,2022,50,Ontario,170300,7.5,Higher wages,Manageable,No,Very difficult,Stressed
2022-0155,2022,44,Ontario,78500,7.2,NA,Neither,Yes,Neither,Comfortable
2022-0156,2022,49,Nova Scotia,63900,12.3,Work-life balance,Somewhat difficult,No,Somewhat difficult,Coping
2022-0157,2022,56,British Columbia,130800,6.5,Higher wages,Manageable,No,Neither,Coping
2022-0158,2022,45,Ontario,130000,16.1,Health benefits,Somewhat difficult,No,Neither,Coping
2022-0159,2022,18,British Columbia,88700,8.7,Work-life balance,Difficult,No,Somewhat manageable,Stressed
2022-0160,2022,34,Ontario,82000,20.9,More time off,Manageable,No,Very manageable,Comfortable
2022-0161,2022,48,Nova Scotia,110000,6.8,Health benefits,Somewhat manageable,No,Neither,Comfortable
2022-0162,2022,32,Ontario,89600,17.3,NA,Very manageable,No,Very manageable,Comfortable
2022-0163,2022,59,British Columbia,135300,9.8,Health benefits,Manageable,No,Very manageable,Comfortable
2022-0164,2022,39,British Columbia,109700,10.8,Higher wages,Somewhat difficult,No,Manageable,Coping
2022-0165,2022,41,Ontario,146200,0.0,Better retirement funding,Somewhat difficult,No,Neither,Stressed
2022-0166,2022,53,Alberta,112300,7.2,Better retirement funding,Very manageable,No,Somewhat difficult,Comfortable
2022-0167,2022,38,British Columbia,46200,18.1,Work-life balance,Neither,No,Difficult,Coping
2022-0168,2022,42,British Columbia,85800,20.6,More time off,Manageable,No,Very manageable,Comfortable
2022-0169,2022,51,Ontario,144200,4.2,NA,Difficult,Yes,Somewhat difficult,Stressed
2022-0170,2022,22,British Columbia,30000,5.5,Better retirement funding,Neither,No,Manageable,Coping
2022-0171,2022,37,Ontario,30000,4.5,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2022-0172,2022,50,Quebec,150900,12.2,More time off,Difficult,No,Somewhat difficult,Coping
2022-0173,2022,41,Ontario,167500,15.6,Work-life balance,Manageable,No,Neither,Comfortable
2022-0174,2022,58,British Columbia,53700,28.8,Health benefits,Somewhat difficult,No,Very manageable,Comfortable
2022-0175,2022,21,Alberta,66500,5.1,Work-life balance,Somewhat difficult,No,Very difficult,Stressed
2022-0176,2022,20,Alberta,40000,11.4,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2022-0177,2022,49,Ontario,90500,0.0,Work-life balance,Difficult,Yes,Manageable,Stressed
2022-0178,2022,50,Ontario,120300,4.2,Better retirement funding,Very difficult,No,Very difficult,Stressed
2022-0179,2022,38,Alberta,30000,12.1,Higher wages,Very manageable,Yes,Somewhat difficult,Coping
2022-0180,2022,45,Alberta,42100,8.8,Work-life balance,Somewhat difficult,No,Neither,Coping
2022-0181,2022,49,British Columbia,88400,8.1,Health benefits,Somewhat difficult,No,Manageable,Coping
2022-0182,2022,30,British Columbia,67700,13.0,Educational funding,Difficult,No,Neither,Coping
2022-0183,2022,32,Saskatchewan,30000,20.1,NA,Neither,Yes,Very difficult,Coping
2022-0184,2022,42,British Columbia,132500,19.0,Educational funding,Somewhat manageable,Yes,Somewhat difficult,Comfortable
2022-0185,2022,51,Alberta,85600,11.7,Better retirement funding,Neither,Yes,Somewhat difficult,Stressed
2022-0186,2022,26,British Columbia,47900,14.7,Work-life balance,Somewhat manageable,No,Somewhat difficult,Coping
2022-0187,2022,38,Alberta,101100,17.5,Better retirement funding,Very difficult,No,Somewhat difficult,Coping
2022-0188,2022,37,Alberta,79100,13.7,Better retirement funding,Manageable,No,Manageable,Comfortable
2022-0189,2022,45,Manitoba,139400,16.6,Better retirement funding,Somewhat manageable,No,Very difficult,Comfortable
2022-0190,2022,40,British Columbia,43300,5.0,Educational funding,Very difficult,Yes,Somewhat manageable,Stressed
2022-0191,2022,33,Alberta,30000,14.3,Higher wages,Somewhat manageable,Yes,Manageable,Coping
2022-0192,2022,55,Ontario,97000,23.5,Work-life balance,Neither,No,Manageable,Comfortable
2022-0193,2022,34,Ontario,84000,11.8,Health benefits,Manageable,No,Neither,Coping
2022-0194,2022,36,Alberta,30000,16.3,Higher wages,Neither,Yes,Difficult,Coping
2022-0195,2022,21,Other,30000,14.1,Work-life balance,Neither,No,Somewhat manageable,Comfortable
2022-0196,2022,31,British Columbia,85600,10.4,Health benefits,Manageable,No,Somewhat difficult,Stressed
2022-0197,2022,46,Saskatchewan,61100,17.1,Higher wages,Neither,No,Somewhat difficult,Coping
2022-0198,2022,44,Quebec,30000,22.7,Higher wages,Neither,Yes,Somewhat manageable,Comfortable
2022-0199,2022,47,New Brunswick,148800,6.7,Health benefits,Somewhat difficult,No,Very difficult,Stressed
2022-0200,2022,47,British Columbia,68900,15.3,Higher wages,Very manageable,Yes,Somewhat difficult,Coping
2022-0201,2022,65,Ontario,185000,5.6,Better retirement funding,Neither,No,Somewhat manageable,Coping
2022-0202,2022,31,Manitoba,77900,19.4,Work-life balance,Manageable,No,Somewhat manageable,Comfortable
2022-0203,2022,21,Alberta,76200,20.1,NA,Manageable,No,Somewhat difficult,Comfortable
2022-0204,2022,27,Ontario,59900,8.7,Work-life balance,Somewhat manageable,No,Very difficult,Comfortable
2022-0205,2022,32,Ontario,30000,8.4,Better retirement funding,Difficult,Yes,Difficult,Stressed
2022-0206,2022,28,Ontario,30000,9.3,Work-life balance,Manageable,No,Somewhat manageable,Comfortable
2022-0207,2022,41,Ontario,85200,15.0,Work-life balance,Very manageable,No,Somewhat manageable,Comfortable
2022-0208,2022,55,Quebec,130700,11.2,Better retirement funding,Somewhat manageable,No,Difficult,Coping
2022-0209,2022,58,Ontario,30000,6.6,Work-life balance,Difficult,No,Neither,Coping
2022-0210,2022,46,Ontario,96300,6.4,Work-life balance,Difficult,No,Very manageable,Stressed
2022-0211,2022,65,Ontario,71400,18.5,Better retirement funding,Very difficult,No,Somewhat manageable,Comfortable
2022-0212,2022,36,Yukon,95700,1.9,NA,Difficult,Yes,Somewhat difficult,Stressed
2022-0213,2022,20,Saskatchewan,59000,14.4,Educational funding,Somewhat manageable,No,Neither,Coping
2022-0214,2022,53,Ontario,146700,12.7,Health benefits,Somewhat manageable,No,Very manageable,Comfortable
2022-0215,2022,18,Ontario,110300,30.0,Educational funding,Very manageable,No,Very manageable,Comfortable
2022-0216,2022,31,Ontario,99400,17.2,Educational funding,Manageable,No,Difficult,Comfortable
2022-0217,2022,46,British Columbia,142000,4.0,NA,Somewhat manageable,No,Somewhat difficult,Coping
2022-0218,2022,39,Quebec,71000,1.1,Work-life balance,Somewhat manageable,No,Very difficult,Stressed
2022-0219,2022,38,Alberta,228200,17.9,Health benefits,Somewhat manageable,No,Somewhat manageable,Coping
2022-0220,2022,26,British Columbia,30000,4.0,Work-life balance,Somewhat manageable,Yes,Very difficult,Stressed
2022-0221,2022,40,Manitoba,63600,8.5,Work-life balance,Very manageable,No,Very manageable,Comfortable
2022-0222,2022,52,Ontario,153100,16.1,Work-life balance,Neither,No,Very difficult,Coping
2022-0223,2022,40,Ontario,127600,8.5,Work-life balance,Somewhat difficult,No,Neither,Coping
2022-0224,2022,30,Alberta,99400,9.3,Work-life balance,Difficult,Yes,Difficult,Stressed
2022-0225,2022,25,Alberta,101300,16.6,Work-life balance,Manageable,No,Neither,Coping
2022-0226,2022,30,British Columbia,30000,19.9,Health benefits,Somewhat difficult,No,Somewhat manageable,Comfortable
2022-0227,2022,45,British Columbia,177000,25.4,Work-life balance,Very manageable,No,Somewhat manageable,Coping
2022-0228,2022,44,Alberta,85800,0.0,Educational funding,Difficult,No,Somewhat difficult,Stressed
2022-0229,2022,30,Ontario,137300,1.9,Educational funding,Neither,No,Somewhat difficult,Stressed
2022-0230,2022,18,British Columbia,30000,9.5,Higher wages,Somewhat difficult,No,Somewhat manageable,Coping
2022-0231,2022,45,British Columbia,110300,17.3,Health benefits,Somewhat manageable,Yes,Manageable,Stressed
2022-0232,2022,29,British Columbia,45300,30.0,Work-life balance,Difficult,No,Manageable,Comfortable
2022-0233,2022,48,Ontario,130600,18.7,Work-life balance,Neither,Yes,Somewhat manageable,Coping
2022-0234,2022,31,Ontario,92400,2.0,More time off,Neither,Yes,Somewhat difficult,Stressed
2022-0235,2022,28,Alberta,90300,13.3,More time off,Somewhat manageable,No,Very manageable,Comfortable
2022-0236,2022,42,British Columbia,40100,6.0,Higher wages,Somewhat difficult,No,Neither,Coping
2022-0237,2022,65,Ontario,124700,2.1,More time off,Somewhat manageable,No,Manageable,Stressed
2022-0238,2022,49,Alberta,94500,20.0,Better retirement funding,Manageable,Yes,Somewhat manageable,Coping
2022-0239,2022,42,Ontario,117800,4.8,Better retirement funding,Very difficult,No,Difficult,Stressed
2022-0240,2022,44,Saskatchewan,145500,10.3,Work-life balance,Neither,No,Very difficult,Coping
2022-0241,2022,19,Ontario,66000,23.4,More time off,Somewhat manageable,No,Manageable,Comfortable
2022-0242,2022,27,Saskatchewan,30000,6.4,Higher wages,Neither,No,Manageable,Comfortable
2022-0243,2022,18,Manitoba,62400,11.3,Health benefits,Somewhat manageable,No,Neither,Coping
2022-0244,2022,61,New Brunswick,252100,4.4,Better retirement funding,Difficult,No,Very manageable,Coping
2022-0245,2022,58,Alberta,199300,4.5,More time off,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0246,2022,45,Alberta,30000,7.5,Higher wages,Somewhat difficult,No,Somewhat difficult,Coping
2022-0247,2022,42,British Columbia,96200,2.8,Higher wages,Neither,No,Somewhat difficult,Stressed
2022-0248,2022,21,Ontario,108100,12.4,Work-life balance,Neither,No,Very difficult,Coping
2022-0249,2022,37,Ontario,76400,7.1,Work-life balance,Difficult,Yes,Somewhat difficult,Stressed
2022-0250,2022,62,British Columbia,100000,16.5,Better retirement funding,Very manageable,No,Very manageable,Comfortable
2022-0251,2022,42,Ontario,79700,20.6,Work-life balance,Very manageable,No,Very difficult,Comfortable
2022-0252,2022,33,Alberta,107100,5.8,Educational funding,Somewhat difficult,No,Manageable,Coping
2022-0253,2022,19,British Columbia,30000,22.8,Educational funding,Very manageable,No,Manageable,Comfortable
2022-0254,2022,57,Alberta,174900,5.0,More time off,Difficult,No,Very difficult,Stressed
2022-0255,2022,39,Ontario,85700,8.1,Educational funding,Somewhat difficult,No,Manageable,Coping
2022-0256,2022,19,Ontario,30000,2.0,Health benefits,Difficult,Yes,Neither,Stressed
2022-0257,2022,29,Ontario,129700,4.8,Work-life balance,Difficult,No,Somewhat difficult,Stressed
2022-0258,2022,25,Alberta,30000,22.2,Work-life balance,Somewhat manageable,No,Somewhat difficult,Coping
2022-0259,2022,38,New Brunswick,59200,10.6,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0260,2022,42,Saskatchewan,64400,4.1,Work-life balance,Manageable,No,Neither,Coping
2022-0261,2022,34,Alberta,188200,16.5,Health benefits,Somewhat difficult,No,Somewhat difficult,Coping
2022-0262,2022,49,New Brunswick,69200,3.6,Work-life balance,Difficult,Yes,Difficult,Stressed
2022-0263,2022,41,Alberta,30000,7.4,Higher wages,Difficult,No,Manageable,Stressed
2022-0264,2022,53,Alberta,80400,7.4,More time off,Difficult,No,Somewhat manageable,Coping
2022-0265,2022,36,Nova Scotia,106800,18.7,Health benefits,Very manageable,Yes,Somewhat manageable,Coping
2022-0266,2022,65,Alberta,166700,3.0,Better retirement funding,Somewhat difficult,No,Manageable,Stressed
2022-0267,2022,33,Ontario,193300,19.4,Better retirement funding,Somewhat manageable,No,Very difficult,Coping
2022-0268,2022,29,Quebec,143800,4.7,Work-life balance,Somewhat manageable,No,Somewhat difficult,Coping
2022-0269,2022,28,British Columbia,81400,9.2,Better retirement funding,Somewhat difficult,No,Somewhat manageable,Coping
2022-0270,2022,37,Alberta,40900,27.8,Work-life balance,Neither,No,Somewhat manageable,Comfortable
2022-0271,2022,19,Ontario,139700,12.0,Work-life balance,Neither,No,Difficult,Coping
2022-0272,2022,44,Nova Scotia,77600,24.6,Work-life balance,Manageable,No,Somewhat manageable,Coping
2022-0273,2022,18,Quebec,30000,9.4,Higher wages,Somewhat difficult,No,Very difficult,Coping
2022-0274,2022,42,British Columbia,72100,12.5,Educational funding,Very difficult,Yes,Neither,Coping
2022-0275,2022,24,Ontario,30000,15.5,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0276,2022,35,Quebec,59200,0.0,More time off,Difficult,No,Neither,Stressed
